Gantry;Couch;Collision
180;90;false
180;89;false
180;88;false
180;87;false
180;86;false
180;85;false
180;84;false
180;83;false
180;82;false
180;81;false
180;80;false
180;79;false
180;78;false
180;77;false
180;76;false
180;75;false
180;74;false
180;73;false
180;72;false
180;71;false
180;70;false
180;69;false
180;68;false
180;67;false
180;66;false
180;65;false
180;64;false
180;63;false
180;62;false
180;61;false
180;60;false
180;59;false
180;58;false
180;57;false
180;56;false
180;55;false
180;54;false
180;53;false
180;52;false
180;51;false
180;50;false
180;49;false
180;48;false
180;47;false
180;46;false
180;45;false
180;44;false
180;43;false
180;42;false
180;41;false
180;40;false
180;39;false
180;38;false
180;37;false
180;36;false
180;35;false
180;34;false
180;33;false
180;32;false
180;31;false
180;30;false
180;29;false
180;28;false
180;27;false
180;26;false
180;25;false
180;24;false
180;23;false
180;22;false
180;21;false
180;20;false
180;19;false
180;18;false
180;17;false
180;16;false
180;15;false
180;14;false
180;13;false
180;12;false
180;11;false
180;10;false
180;9;false
180;8;false
180;7;false
180;6;false
180;5;false
180;4;false
180;3;false
180;2;false
180;1;false
180;0;false
180;359;false
180;358;false
180;357;false
180;356;false
180;355;false
180;354;false
180;353;false
180;352;false
180;351;false
180;350;false
180;349;false
180;348;false
180;347;false
180;346;false
180;345;false
180;344;false
180;343;false
180;342;false
180;341;false
180;340;false
180;339;false
180;338;false
180;337;false
180;336;false
180;335;false
180;334;false
180;333;false
180;332;false
180;331;false
180;330;false
180;329;false
180;328;false
180;327;false
180;326;false
180;325;false
180;324;false
180;323;false
180;322;false
180;321;false
180;320;false
180;319;false
180;318;false
180;317;false
180;316;false
180;315;false
180;314;false
180;313;false
180;312;false
180;311;false
180;310;false
180;309;false
180;308;false
180;307;false
180;306;false
180;305;false
180;304;false
180;303;false
180;302;false
180;301;false
180;300;false
180;299;false
180;298;false
180;297;false
180;296;false
180;295;false
180;294;false
180;293;false
180;292;false
180;291;false
180;290;false
180;289;false
180;288;false
180;287;false
180;286;false
180;285;false
180;284;false
180;283;false
180;282;false
180;281;false
180;280;false
180;279;false
180;278;false
180;277;false
